Frequency (Hz),Channel 2 Magnitude (dB)
1000,-44.33734699298034
1025.91436547001,-44.18576719866728
1052.500285277733,-43.83756282291877
1079.77516232771,-43.56264917291844
1107.756850509709,-43.35065089287649
1136.463666385725,-43.13335449232613
1165.914401179832,-42.78390402329018
1196.128333078753,-42.49860511653366
1227.12523985119,-42.30147208812049
1258.925411794167,-42.0801970230397
1291.549665014884,-41.70819420852588
1325.019355056749,-41.47806299779451
1359.356390878526,-41.23279550141797
1394.583249195745,-40.93069132485749
1430.722989193757,-40.67972064464737
1467.799267622069,-40.36348475662475
1505.836354279841,-40.19729425840561
1544.859147902675,-39.7174010441768
1584.893192461113,-39.54883758745406
1625.964693881481,-39.21531853867442
1668.100537200059,-38.84634714106278
1711.328304161781,-38.58954398244623
1755.676291275002,-38.26793583741867
1801.173528334133,-38.01691823907289
1847.849797422291,-37.57172379777849
1895.735652406376,-37.32017104756407
1944.862438937362,-36.70108543802832
1995.26231496888,-36.01928793710717
2046.968271807521,-35.97260099759187
2100.014155708655,-35.65423389375692
2154.434690031883,-35.35463397105591
2210.265497970637,-35.06469669315725
2267.543125870802,-34.64541579185389
2326.305067153626,-34.22379711901913
2386.589786858581,-33.71335455199057
2448.436746822227,-33.28984963233852
2511.88643150958,-32.82087970380754
2576.980374514878,-32.34600543372736
2643.7611857491,-31.8940794307565
2712.272579332028,-31.36511537506037
2782.559402207124,-30.76738237165198
2854.667663497932,-30.10757058286289
2928.644564625237,-29.44601995754154
3004.538530204693,-28.7333105323712
3082.399239745143,-27.94041621078227
3162.277660168379,-27.13318625680187
3244.22607917163,-26.23470085779381
3328.298139454621,-25.16871059734604
3414.548873833602,-23.97489920338284
3503.034741265335,-22.57653953650083
3593.813663804628,-20.84942257244965
3686.945064519575,-18.45900517984369
3782.489906389384,-13.70865813629617
3880.510732210183,-8.479861123263515
3981.071705534972,-9.784133044274634
4084.238652674522,-11.55510538098813
4190.079105786669,-13.58480382701167
4298.662347082277,-15.61812416599696
4410.059454176738,-17.5627808309896
4524.343346616745,-19.30204240482848
4641.588833612778,-20.92029031936763
4761.872663008538,-22.2366954601988
4885.273571519389,-23.49705040074653
5011.872336272722,-24.59555440885979
5141.751827683927,-25.59309834823085
5274.997063702618,-26.43930325096863
5411.695265464637,-27.28783224186495
5551.935914386209,-28.07418069194986
5695.810810737686,-28.81283146112415
5843.414133735177,-29.40990640730974
5994.84250318941,-30.16241611862868
6150.195042752209,-30.59031693651996
6309.573444801934,-31.28587171563849
6473.082037010399,-31.829614423866
6640.827850634842,-32.31696791160132
6812.920690579614,-32.82808410446045
6989.473207273484,-33.21549686012366
7170.60097040961,-33.64499712673129
7356.422544596414,-34.08802285998755
7547.059566968905,-34.65310427626513
7742.63682681127,-34.75919929845598
7943.282347242814,-35.10718663646965
8149.127469020743,-35.51068149420886
8360.306936514644,-35.92012122577637
8576.958985908941,-36.22705810298184
8799.225435691069,-36.85386897421039
9027.251779484577,-36.89748474928544
9261.187281287936,-37.29471150349573
9501.185073181436,-37.60130125390226
9747.402255566063,-38.11549852614779
10000,-38.12580570255287
